name,TUITIONFEE_IN,TUITIONFEE_OUT,ADM_RATE_ALL,SAT_AVG_ALL
University of Redlands,48072,48072,0.74958124,1182
College of the Redwoods,1182,6822,NULL,NULL
Salon Success Academy-Upland,NULL,NULL,NULL,NULL
Salon Success Academy-Corona,NULL,NULL,NULL,NULL
Rio Hondo College,1360,6960,NULL,NULL
Riverside City College,1420,8440,NULL,NULL
Argosy University-San Francisco Bay Area,13438,13438,NULL,NULL
Rosemead Beauty School,NULL,NULL,NULL,NULL
Dongguk University-Los Angeles,NULL,NULL,NULL,NULL
Sacramento City College,1104,8208,NULL,NULL
Saddleback College,1328,10568,NULL,NULL
Samuel Merritt University,NULL,NULL,NULL,NULL
San Diego City College,1142,5894,NULL,NULL
Golf Academy of America-San Diego,NULL,NULL,NULL,NULL
San Diego Mesa College,1142,5894,NULL,NULL
San Diego Miramar College,1142,5894,NULL,NULL
San Diego State University,7460,19340,0.354194714,1206
University of San Diego,47708,47708,0.49793066,1302
San Francisco Art Institute,44778,44778,0.747228381,NULL
San Francisco Conservatory of Music,44810,44810,0.437956204,NULL
San Francisco State University,7254,19134,0.70464025,1054
San Francisco Theological Seminary,NULL,NULL,NULL,NULL
University of San Francisco,46250,46250,0.656347698,1203
San Joaquin College of Law,NULL,NULL,NULL,NULL
San Joaquin Delta College,1104,6720,NULL,NULL
San Joaquin Valley College-Visalia,NULL,NULL,NULL,NULL
William Jessup University,30550,30550,0.660539216,1129
San Jose City College,1356,7852,NULL,NULL
San Jose State University,7721,19601,0.668776834,1110
College of San Mateo,1400,6300,NULL,NULL
Santa Barbara Business College-Bakersfield,10000,10000,NULL,NULL
Santa Barbara Business College-Santa Maria,10000,10000,NULL,NULL
Santa Barbara City College,1374,8326,NULL,NULL
Santa Clara University,49858,49858,0.535621805,1378
Santa Monica College,1142,8558,NULL,NULL
Santa Rosa Junior College,1282,7328,NULL,NULL
Saybrook University,NULL,NULL,NULL,NULL
Scripps College,52966,52966,0.333685322,1405
College of the Sequoias,1390,7186,NULL,NULL
Shasta Bible College and Graduate School,12060,12060,1,NULL
Shasta College,1185,6801,NULL,NULL
Sierra College,1142,6214,NULL,NULL
Sierra College of Beauty,NULL,NULL,NULL,NULL
Trinity Law School,NULL,NULL,0.75,1129
Simpson University,27700,27700,0.556149733,1077
College of the Siskiyous,1154,6762,NULL,NULL
Charles A Jones Career and Education Center,NULL,NULL,NULL,NULL
Skyline College,1447,8136,NULL,NULL
San Bernardino Valley College,1238,5500,NULL,NULL
Saint Mary's College of California,45686,45686,0.81622088,1170
Solano Community College,1140,6324,NULL,NULL
Sonoma State University,7724,19604,0.820264766,1078
South Baylo University,NULL,NULL,NULL,NULL
South Coast College,NULL,NULL,NULL,NULL
Vanguard University of Southern California,32430,32430,0.466796242,1037
Concorde Career College-Garden Grove,NULL,NULL,0.832898172,NULL
Southwestern College,1338,6602,NULL,NULL
St John's Seminary,NULL,NULL,NULL,NULL
Starr King School for the Ministry,NULL,NULL,NULL,NULL
Marshall B Ketchum University,NULL,NULL,NULL,NULL
Southern California Institute of Architecture,43800,43800,NULL,NULL
University of Southern California,54259,54259,0.159538429,1437
Southwestern Law School,NULL,NULL,NULL,NULL
Taft College,1410,8430,NULL,NULL
Claremont School of Theology,NULL,NULL,NULL,NULL
Thomas Aquinas College,24500,24500,0.71875,1297
Epic Bible College,9689,9689,NULL,NULL
United Education Institute-Huntington Park Campus,NULL,NULL,NULL,NULL
Concorde Career College-San Bernardino,NULL,NULL,0.736292428,NULL
Concorde Career College-North Hollywood,NULL,NULL,0.767741935,NULL
Ventura College,1388,7050,NULL,NULL
The Santa Barbara and Ventura Colleges of Law at Ventura,NULL,NULL,NULL,NULL
Victor Valley College,1126,5638,NULL,NULL
Berkeley City College,1230,7110,NULL,NULL
Walden University,12465,12465,NULL,NULL
Waynes College of Beauty,NULL,NULL,NULL,NULL
West Hills College-Coalinga,1380,10860,NULL,NULL
West Los Angeles College,1220,7538,NULL,NULL
West Valley College,1186,5239,NULL,NULL
Carrington College-Sacramento,NULL,NULL,0.541941565,NULL
Westminster Theological Seminary in California,NULL,NULL,NULL,NULL
Westmont College,44044,44044,0.847084708,1262
Whittier College,46310,46310,0.740862636,1138
Woodbury University,38460,38460,0.616428033,1076
The Wright Institute,NULL,NULL,NULL,NULL
Western State College of Law at Argosy University,NULL,NULL,NULL,NULL
Thomas Jefferson School of Law,NULL,NULL,NULL,NULL
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,14700,14700,0.654761905,NULL
Yuba College,1124,6284,NULL,NULL
The Salon Professional Academy-Grand Junction,NULL,NULL,NULL,NULL
Adams State University,9440,20456,0.988833054,1005
Aims Community College,1835,10424,NULL,NULL
Arapahoe Community College,3676,14441,NULL,NULL
Bel-Rea Institute of Animal Technology,11963,11963,0.325842697,NULL
Altierus Career College-Colorado Springs,12015,12015,NULL,NULL
University of Colorado Denver/Anschutz Medical Campus,9107,25259,0.652246549,1179
University of Colorado Colorado Springs,8314,19498,0.92814613,1162
Spartan College of Aeronautics and Technology,15743,15743,NULL,NULL
University of Colorado Boulder,12086,36220,0.798412084,1293
Colorado Christian University,30370,30370,NULL,NULL
Colorado College,52818,52818,0.151282987,NULL
Concorde Career College-Aurora,NULL,NULL,0.662576687,NULL
The Art Institute of Colorado,17626,17626,NULL,NULL
Colorado Mountain College,1840,10840,NULL,NULL
